Name,Position,Goalkeeper,Defender,Midfielder,Forward
Kadidiatou Diani,Forward,,,,3
Valérie Gauvin,Forward,,,,3
Vivianne Miedema,Forward,,,,3
Lucía García,Forward,,,,3
Mallory Pugh,Forward,,,,3
Andrew Nabbout,Forward,,,,4
Alfreð Finnbogason,Forward,,,,4
Sardar Azmoun,Forward,,,,4
Kelechi Iheanacho,Forward,,,,4
Fyodor Smolov,Forward,,,,4
Wahbi Khazri,Forward,,,,4
Cristhian Stuani,Forward,,,,4
Caitlin Foord,Forward,,,,4
Andressa Alves,Forward,,,,4
Cristiane,Forward,,,,4
Nikita Parris,Forward,,,,4
Fran Kirby,Forward,,,,4
Beth Mead,Forward,,,,4
Lina Magull,Forward,,,,4
Cristiana Girelli,Forward,,,,4
Valentina Giacinti,Forward,,,,4
Megan Rapinoe,Forward,,,,4
Tobin Heath,Forward,,,,4
Johan Venegas,Forward,,,,5
Marwan Mohsen,Forward,,,,5
Yuya Osako,Forward,,,,5
Hirving Lozano,Forward,,,,5
André Silva,Forward,,,,5
Son Heung-min,Forward,,,,5
Lineth Beerensteyn,Forward,,,,5
Radamel Falcao,Forward,,,,6
Ante Rebić,Forward,,,,6
Antoine Griezmann,Forward,,,,6
Paolo Guerrero,Forward,,,,6
Ricardo Quaresma,Forward,,,,6
Ismaïla Sarr,Forward,,,,6
M'Baye Niang,Forward,,,,6
Sam Kerr,Forward,,,,6
Sadio Mané,Forward,,,,7
Jennifer Hermoso,Forward,,,,7
Eden Hazard,Forward,,,,8
Javier Hernández,Forward,,,,8
Cristiano Ronaldo,Forward,,,,8
Edinson Cavani,Forward,,,,8
Alex Morgan,Forward,,,,8
Gabriel Jesus,Forward,,,,9
Marcus Berg,Forward,,,,9
Luis Suárez,Forward,,,,9
Kylian Mbappé,Forward,,,,10
Victor Moses,Forward,,,,10
Aleksandar Mitrović,Forward,,,,10
Gabrielle Aboudi Onguéné,Forward,,,,10
Harry Kane,Forward,,,,12
Mario Mandžukić,Forward,,,,13
Olivier Giroud,Forward,,,,14
Neymar,Forward,,,,18
